id,drug_id,name,drug_type,amount,exp,mfg,brand,description,updated_date
136,bl136,Fluzinstad 5,POWDER,250,12month,9/29/2021,Cuu Long Pharmaceutical and Medical Equipment Company - VIETNAM,The drug works on the blood.,10/29/2021
137,bl137,Sobelin,EMULSIONS,250,12month,9/29/2021,"Furen Pharmaceutical Group Co., Ltd. - CHINA",The drug works on the blood.,10/29/2021
138,bl138,Reinal,GELS,250,12month,9/29/2021,Cenexi SAS - FRANCE,The drug works on the blood.,10/29/2021
139,bl139,Siberian,MAGMAS,250,12month,9/29/2021,Novartis Pharm Stein A.G - Switzerland,The drug works on the blood.,10/29/2021
140,bl140,Lelocin 5,MIXTURES,250,12month,9/29/2021,"Sun Pharmaceutical Industries., Ltd - INDIA",The drug works on the blood.,10/29/2021
141,bl141,Sarah Cap,LIQUID,250,12month,9/29/2021,DANAPHA Pharmaceutical Joint Stock Company - VIETNAM,The drug works on the blood.,10/29/2021
142,bl142,Reinal-5,LIQUID,250,12month,9/29/2021,Stellapharm - VIETNAM,The drug works on the blood.,10/29/2021
143,bl143,Lelocin 5,TABLETS,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
144,bl144,Metomol Tablet,OIMENTS,250,12month,9/29/2021,TRAPHACO - VIETNAM JOINT STOCK COMPANY,The drug works on the blood.,10/29/2021
145,bl145,Fluthepharm 10,LOZENGES,250,12month,9/29/2021,Novartis Farma S.P.A Italy,The drug works on the blood.,10/29/2021
146,bl146,Lodegald-Flunarizin,LOZENGES,250,12month,9/29/2021,Pharmedic - VIETNAM Pharmaceutical and Pharmaceutical Joint Stock Company,The drug works on the blood.,10/29/2021
147,bl147,Sibendina,OIMENTS,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
148,bl148,Virtizin 5,LOZENGES,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
149,bl149,Sibetinic Soft,OIMENTS,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
150,bl150,Sibetinic,LOZENGES,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
151,bl151,Hagizin,LOZENGES,250,12month,9/29/2021,"F.Hoffmann-La Roche., Ltd",The drug works on the blood.,10/29/2021
152,bl152,Mezapizine 10,OIMENTS,250,12month,9/29/2021,Pharmedic,The drug works on the blood.,10/29/2021
153,bl153,Sobelin,LOZENGES,250,12month,9/29/2021,Orion Corporation,The drug works on the blood.,10/29/2021
154,bl154,Darintab,PILLS,250,12month,9/29/2021,"F.Hoffmann-La Roche., Ltd",The drug works on the blood.,10/29/2021
155,bl155,Oliveirim,PELLETS,250,12month,9/29/2021,Boehringer Ingelheim pharma GmbH & Co,The drug works on the blood.,10/29/2021
156,bl156,Pentoxifylin,PELLETS,250,12month,9/29/2021,Fresenius Kabi Vietnam Joint Stock Company - VIETNAM,The drug works on the blood.,10/29/2021
157,bl157,Advate,CAPSULES,250,12month,9/29/2021,CPC1 Pharmaceutical Joint Stock Company Hanoi - VIETNAM,The drug works on the blood.,10/29/2021
158,bl158,Nanokine,CAPSULES,250,12month,9/29/2021,B.Braun Melsungen AG - Germany,The drug works on the blood.,10/29/2021
159,bl159,Epocassa,CAPSULES,250,12month,9/29/2021,Warsaw Pharmaceutical Works Polfa - Poland,The drug works on the blood.,10/29/2021
160,bl160,Pentoxipharm,INHALANTS,250,12month,9/29/2021,B.Braun Melsungen AG - Germany,The drug works on the blood.,10/29/2021
161,bl161,Sintrom 4,LINIMENT,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
162,bl162,Somatin,OIMENTS,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
163,bl163,Fontit-F,LOZENGES,250,12month,9/29/2021,Laboratoires UPSA - France,The drug works on the blood.,10/29/2021
164,bl164,Tophem,LOZENGES,250,12month,9/29/2021,Stada-Vietnam - VIETNAM COMPANY LIMITED,The drug works on the blood.,10/29/2021
165,bl165,Gon sa Ezeti-10,OIMENTS,250,12month,9/29/2021,Sanofi Vietnam Pharmaceutical Joint Stock Company - VIETNAM,The drug works on the blood.,10/29/2021
166,bl166,Arixtra,LOZENGES,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
167,bl167,Toxaxin Inj,PILLS,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
168,bl168,Arixtra,PELLETS,250,12month,9/29/2021,Branch of OPC Pharmaceutical Joint Stock Company in Binh Duong - OPC Pharmaceutical Factory - VIETNAM (,The drug works on the blood.,10/29/2021
169,bl169,Replenine-VF,PELLETS,250,12month,9/29/2021,PT. Indofarma Tbk. - INDONESIA,The drug works on the blood.,10/29/2021
170,bl170,Hezoy,CAPSULES,250,12month,9/29/2021,Central Pharmaceutical Company Limited 3 - VIETNAM,The drug works on the blood.,10/29/2021
171,bl171,Transamin Tablets,CAPSULES,250,12month,9/29/2021,Dat Vi Phu Pharmaceutical Joint Stock Company (DAVIPHARM) - VIETNAM,The drug works on the blood.,10/29/2021
172,bl172,Pronivel 2000 IU,CAPSULES,250,12month,9/29/2021,nd-Swift Ltd - INDIA,The drug works on the blood.,10/29/2021
173,bl173,Reliporex 10000 IU s,INHALANTS,250,12month,9/29/2021,Pharmaceutical & Medical Biomedical Enterprise (MEBIPHAR) Ho Chi Minh City - VIETNAM,The drug works on the blood.,10/29/2021
174,bl174,Haemoctin SDH 250,LINIMENT,250,12month,9/29/2021,U.C.B. Farchin S.A - Switzerland,The drug works on the blood.,10/29/2021
175,bl175,Reliporex 4000 IU,LINIMENT,250,12month,9/29/2021,"Korea Drug Co., Ltd - KOREA",The drug works on the blood.,10/29/2021
